"OrganisationId","Active","AdditionalSearch","Alias","DataStatus","Endpoints","EndpointTemplates","HealthcareServices","IsSupplierOnly","LastUpdated","Name","ODSCode","SearchField"
"85d244dd-2cef-49d4-b6a4-c741849bb13c","false","""pharm+: jai chemist - high street, kings lynn 2000036565""","JAI CHEMIST","0","[]","[]","[]","false","2025-07-24T13:07:42.842Z","JAI CHEMIST","FLG23","""jai chemist flg23 jai chemist pharm+: jai chemist - high street, kings lynn 2000036565"""
"8cdfca54-0577-47d2-aff9-82a01d188fce","false","""pharm+: evans pharmacy - ilkeston, derbyshire 2000082168""","EVANS PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.841Z","EVANS PHARMACY","FVF48","""evans pharmacy fvf48 evans pharmacy pharm+: evans pharmacy - ilkeston, derbyshire 2000082168"""
"f9756f57-0bd6-4f86-93ee-f2083ee4008b","false","""pharm+: bassett, 19 burgess road, bassett, southampton 2000040618""","BASSETT PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.837Z","BASSETT PHARMACY","FA585","""bassett pharmacy fa585 bassett pharmacy pharm+: bassett, 19 burgess road, bassett, southampton 2000040618"""
"62a15e83-6b14-42a8-88be-32fcbcc9a7a9","false","""pharm+: mottingham pharmacy, greenwich, london 2000022008""","MOTTINGHAM PHARMACY (JARMAN & DIXON)","0","[]","[]","[]","false","2025-07-24T13:07:42.844Z","MOTTINGHAM PHARMACY (JARMAN & DIXON)","FC313","""mottingham pharmacy (jarman & dixon) fc313 mottingham pharmacy (jarman & dixon) pharm+: mottingham pharmacy, greenwich, london 2000022008"""
"457aba40-7754-40e2-9113-af1f020abc51","false","""pharm+: cohens chemist (mowbray square, harrogate) 2000033321""","COHENS CHEMIST","0","[]","[]","[]","false","2025-07-24T13:07:42.840Z","COHENS CHEMIST","FCF87","""cohens chemist fcf87 cohens chemist pharm+: cohens chemist (mowbray square, harrogate) 2000033321"""
"7c4768c0-223c-425f-bc69-a4dd456c7e71","false","""pharm+: boots pharmacy (claremont crescent, whitley bay) 2000018531""","BOOTS","0","[]","[]","[]","false","2025-07-24T13:07:42.838Z","BOOTS","FTJ64","""boots ftj64 boots pharm+: boots pharmacy (claremont crescent, whitley bay) 2000018531"""
"2cf2732f-a24f-4bde-9118-a0dc797850c4","false","""pharm+: challis pharmacy, 35 masefield rd, braintree, essex 2000036186""","CHALLIS PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.836Z","CHALLIS PHARMACY","FPM74","""challis pharmacy fpm74 challis pharmacy pharm+: challis pharmacy, 35 masefield rd, braintree, essex 2000036186"""
"fb354bc4-30f6-4ded-b158-e49bb1548532","false","pharm+: surrey - kamsons pharmacy - godalming 2000075464","KAMSONS PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.846Z","KAMSONS PHARMACY","FHA49","kamsons pharmacy fha49 kamsons pharmacy pharm+: surrey - kamsons pharmacy - godalming 2000075464"
"76cd6930-961a-4026-a8c5-26593285dcfa","false","""pharm+: eastcote pharmacy, hillingdon, london 2000023673""","EASTCOTE PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.841Z","EASTCOTE PHARMACY","FPM24","""eastcote pharmacy fpm24 eastcote pharmacy pharm+: eastcote pharmacy, hillingdon, london 2000023673"""
"b7c9721f-5608-4c08-afcf-018f3849af46","false","""pharm+: osbon pharmacy, lewisham, london 2000020957""","OSBON PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.844Z","OSBON PHARMACY","FET97","""osbon pharmacy fet97 osbon pharmacy pharm+: osbon pharmacy, lewisham, london 2000020957"""
