"SnapshotId","Active","Alias","AuditType","DataStatus","Endpoints","EndpointTemplates","HealthcareServices","IsSupplierOnly","LastUpdated","Name","ODSCode","OrganisationId","TimeOfChange"
"7284aae5-37c5-4db0-9ef8-ffafd71caa1b","false","JHOOTS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.835Z","JHOOTS PHARMACY","FK097","6d1a40c9-f415-4f48-ade4-09b5eb75d3c1","2026-03-13T16:07:39.207Z"
"6f398009-73cd-4f73-98fd-9e2dc4ec1066","false","SUPERDRUG PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.846Z","SUPERDRUG PHARMACY","FQV23","9ecb0d0f-3314-4217-9e73-a59f72816d3c","2025-12-05T16:12:28.117Z"
"030af00c-b92b-4573-9522-27c0ce1c6830","false","OAKLEIGH PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.835Z","OAKLEIGH PHARMACY","FJN47","96e7ea0c-954c-4c70-8a38-8c8c120a0bba","2026-02-20T16:24:43.329Z"
"5f371608-a619-45ef-929f-1b70943c20cb","false","NEWMANS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.847Z","NEWMANS PHARMACY","FFE25","2af5b455-95f9-4536-9e15-e16d419cb44b","2025-09-12T15:12:39.049Z"
"badaf8ea-77b4-47d7-bacf-b331a3bc5cbc","false","GILLINGHAM PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","GILLINGHAM PHARMACY","FTE44","3259bd0c-48c9-4794-ac5e-2fccd14cd93a","2026-03-06T16:08:42.132Z"
"2e0bb232-7d2d-4127-ab71-55bce7d33756","false","Jhoots Pharmacy","ALL","0","[]","[]","[]","true","2026-02-06T16:10:46.897Z","Jhoots Pharmacy","FQF26","ae2b6a4f-ca69-488f-a8b2-15ee2ee9cf83","2026-05-15T15:02:24.162Z"
"b7ac7664-8c61-4f71-9b5e-23fd7d2e6ab8","false","WELL","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.857Z","WELL","FC248","a9466e39-64e4-4012-b0a3-35c9787985ba","2026-05-22T15:05:40.766Z"
"774dabfd-a4b7-4710-9afb-c2a0439ea5de","false","SELBY ROAD PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.858Z","SELBY ROAD PHARMACY","FTQ47","328e1219-d40d-4957-8b55-6b8fa144623c","2025-11-07T16:12:47.952Z"
"8e08c77d-d63a-4b91-86df-c32c65557dee","false","JHOOTS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","JHOOTS PHARMACY","FGT74","03638d33-6d3b-42de-82a6-1d3cae619787","2026-06-26T15:04:57.067Z"
"69cb90a4-3ce4-405b-b9d8-773067ccafac","false","BISHOPS CASTLE PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.837Z","BISHOPS CASTLE PHARMACY","FMG15","a10caa43-1050-4941-a2ed-fe4da7b936ac","2025-10-03T14:35:58.267Z"
"23631b87-b7aa-43a6-adc9-ee61fde6d110","false","SHORE PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.835Z","SHORE PHARMACY","FGC52","3e492f78-7477-435f-ab83-dbdd540dd3a2","2026-01-09T16:21:38.007Z"
"dcc28edb-100e-4d18-aaa5-b1937469fb57","false","GREEN LANE - PHARMACY+HEALTH","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","GREEN LANE - PHARMACY+HEALTH","FNA48","7925b028-1b15-46d7-b312-93106af1c23e","2026-01-09T16:21:58.853Z"
"c8737d49-65c0-4e8b-800f-85e7ffdb019e","false","PRESTON GROVE PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.836Z","PRESTON GROVE PHARMACY","FG394","1e9fc85d-3992-44aa-9256-68afb64568c9","2026-04-17T15:09:20.662Z"
"3e8dc1a9-5980-43a8-8b5d-388bf58ef1ad","false","JHOOTS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","JHOOTS PHARMACY","FG146","db43e75c-de19-499b-8889-181516e001f0","2026-04-24T15:13:39.033Z"
